Team,Ranking,Year
Scotland,16.550,1995
Switzerland,15.500,1995
Poland,14.916,1995
Romania,14.150,1995
Norway,12.332,1995
Israel,12.166,1995
Hungary,11.916,1995
Croatia,11.500,1995
Cyprus,10.665,1995
Ukraine,10.332,1995
Georgia,9.000,1995
Iceland,8.666,1995
Latvia,8.500,1995
Finland,8.416,1995
Slovakia,7.999,1995
Slovenia,7.666,1995
Bulgaria,7.583,1995
Czech Republic,5.000,1995
Wales,5.000,1995
Northern Ireland,4.998,1995
Ireland,4.665,1995
Belarus,4.000,1995
Malta,3.998,1995
Albania,3.333,1995
Liechtenstein,3.000,1995
Lithuania,2.500,1995
Luxembourg,1.999,1995
Faroe Islands,1.500,1995
North Macedonia,1.000,1995
Armenia,1.000,1995
Moldova,1.000,1995
Estonia,0.500,1995
Azerbaijan,0.000,1995
Italy,61.259,1996
France,45.408,1996
Spain,43.932,1996
Germany,42.140,1996
Netherlands,38.700,1996
Portugal,32.800,1996
England,30.166,1996
Belgium,27.800,1996
Greece,27.000,1996
Russia,25.200,1996
Turkey,22.916,1996
Denmark,22.000,1996
Austria,21.950,1996
Sweden,18.750,1996
Switzerland,18.250,1996
Czech Republic,17.000,1996
Scotland,16.550,1996
Norway,15.832,1996
Ukraine,15.665,1996
Hungary,15.249,1996
Romania,15.150,1996
Poland,14.916,1996
Israel,14.416,1996
Cyprus,12.665,1996
Croatia,12.500,1996
Latvia,11.166,1996
Slovakia,10.999,1996
Slovenia,10.332,1996
Georgia,10.000,1996
Iceland,9.666,1996
Finland,9.582,1996
Bulgaria,9.250,1996
Belarus,8.500,1996
Northern Ireland,5.332,1996
North Macedonia,5.000,1996
Moldova,5.000,1996
Ireland,4.331,1996
Malta,4.331,1996
Lithuania,4.000,1996
Albania,3.666,1996
Luxembourg,3.333,1996
Faroe Islands,3.000,1996
Liechtenstein,3.000,1996
Wales,2.666,1996
Armenia,2.500,1996
Estonia,2.000,1996
Serbia,1.000,1996
Azerbaijan,0.500,1996
Italy,60.735,1997
Spain,46.532,1997
France,45.733,1997
Germany,43.949,1997
Netherlands,36.350,1997
Portugal,34.800,1997
England,30.816,1997
Turkey,25.000,1997
Greece,25.000,1997
Austria,24.950,1997
Russia,24.866,1997
Belgium,24.400,1997
Denmark,22.950,1997
Sweden,22.750,1997
Norway,22.249,1997
Czech Republic,21.666,1997
Switzerland,21.500,1997
Poland,19.500,1997
Scotland,18.800,1997
Romania,18.650,1997
Croatia,18.500,1997
Ukraine,17.998,1997
Cyprus,16.665,1997
Israel,16.416,1997
Hungary,16.249,1997
Georgia,16.000,1997
Slovakia,15.999,1997
Latvia,13.832,1997
Slovenia,12.998,1997
Finland,12.082,1997
Belarus,11.500,1997
Iceland,10.999,1997
Bulgaria,10.666,1997
North Macedonia,7.333,1997
Lithuania,6.000,1997
Moldova,6.000,1997
Northern Ireland,5.332,1997
Liechtenstein,5.000,1997
Wales,4.999,1997
Serbia,4.750,1997
Estonia,4.666,1997
Malta,4.664,1997
Ireland,4.331,1997
Armenia,4.166,1997
Luxembourg,3.666,1997
Faroe Islands,3.000,1997
Albania,2.666,1997
Azerbaijan,1.833,1997
Italy,59.640,1998
Germany,49.932,1998
Spain,48.580,1998
France,41.433,1998
Netherlands,35.916,1998
England,35.566,1998
Portugal,31.266,1998
Greece,28.750,1998
Czech Republic,28.166,1998
Norway,27.449,1998
Austria,27.250,1998
Russia,26.866,1998
Croatia,26.166,1998
Turkey,25.650,1998
Denmark,24.200,1998
Switzerland,22.250,1998
Ukraine,22.082,1998
Poland,22.000,1998
Hungary,21.083,1998
Belgium,21.000,1998
Slovakia,20.999,1998
Romania,20.750,1998
Sweden,20.600,1998
Georgia,20.333,1998
Cyprus,20.332,1998
Scotland,19.500,1998
Israel,16.749,1998
Slovenia,15.998,1998
Belarus,14.833,1998
Iceland,13.666,1998
Finland,13.415,1998
Latvia,11.498,1998
Bulgaria,10.499,1998
North Macedonia,8.666,1998
Lithuania,7.333,1998
Serbia,7.083,1998
Moldova,6.666,1998
Liechtenstein,5.000,1998
Estonia,4.999,1998
Armenia,4.832,1998
Northern Ireland,4.665,1998
Malta,4.664,1998
Wales,3.999,1998
Ireland,3.998,1998
Faroe Islands,2.833,1998
Albania,2.666,1998
Luxembourg,2.333,1998
Azerbaijan,1.833,1998
Andorra,0.000,1998
Italy,57.212,1999
Spain,49.628,1999
Germany,45.498,1999
France,41.442,1999
Netherlands,37.816,1999
England,34.288,1999
Russia,27.825,1999
Greece,26.950,1999
Portugal,24.716,1999
Czech Republic,23.624,1999
Austria,22.375,1999
Denmark,21.050,1999
Croatia,20.374,1999
Turkey,20.350,1999
Ukraine,20.291,1999
Switzerland,20.000,1999
Norway,19.733,1999
Belgium,19.600,1999
Sweden,17.325,1999
Poland,17.250,1999
Scotland,16.625,1999
Romania,16.200,1999
Hungary,15.666,1999
Slovakia,14.332,1999
Cyprus,12.665,1999
Georgia,12.166,1999
Israel,11.541,1999
Slovenia,10.831,1999
Belarus,9.083,1999
Finland,9.041,1999
Serbia,8.249,1999
Bulgaria,7.582,1999
Latvia,6.582,1999
Iceland,6.332,1999
North Macedonia,4.915,1999
Lithuania,4.832,1999
Moldova,4.333,1999
Estonia,2.582,1999
Armenia,2.416,1999
Northern Ireland,1.998,1999
Ireland,1.832,1999
Wales,1.832,1999
Malta,1.498,1999
Faroe Islands,1.249,1999
Albania,1.166,1999
Luxembourg,1.166,1999
Liechtenstein,1.000,1999
Azerbaijan,0.916,1999
Bosnia-Herzegovina,0.500,1999
Andorra,0.000,1999
Spain,59.599,2000
Italy,55.927,2000
Germany,46.403,2000
France,42.727,2000
England,41.455,2000
Netherlands,36.666,2000
Russia,29.275,2000
Czech Republic,29.124,2000
Greece,28.866,2000
Portugal,24.549,2000
Turkey,23.850,2000
Ukraine,23.166,2000
Norway,22.100,2000
Switzerland,21.000,2000
Scotland,20.500,2000
Austria,20.500,2000
Belgium,19.050,2000
Denmark,18.175,2000
Poland,18.000,2000
Romania,17.833,2000
Croatia,16.124,2000
Sweden,15.533,2000
Hungary,15.416,2000
Israel,13.541,2000
Slovakia,12.832,2000
Slovenia,11.831,2000
Cyprus,11.498,2000
Serbia,11.415,2000
Bulgaria,10.540,2000
Georgia,9.666,2000
Latvia,8.332,2000
Finland,8.041,2000
Belarus,7.583,2000
Moldova,6.333,2000
Iceland,6.332,2000
North Macedonia,5.081,2000
Lithuania,4.665,2000
Estonia,2.582,2000
Wales,2.332,2000
Armenia,2.249,2000
Ireland,1.665,2000
Malta,1.498,2000
Northern Ireland,1.498,2000
Faroe Islands,1.415,2000
Luxembourg,1.332,2000
Azerbaijan,1.249,2000
Liechtenstein,1.000,2000
Albania,0.832,2000
Bosnia-Herzegovina,0.500,2000
Andorra,0.000,2000
Spain,65.210,2001
Italy,56.239,2001
England,51.288,2001
Germany,48.632,2001
France,42.352,2001
Netherlands,30.249,2001
Turkey,29.975,2001
Greece,28.366,2001
Russia,27.708,2001
Portugal,26.274,2001
Czech Republic,24.791,2001
Belgium,24.150,2001
Ukraine,23.833,2001
Austria,23.750,2001
Norway,23.600,2001
Scotland,22.625,2001
Switzerland,21.875,2001
Croatia,19.999,2001
Sweden,18.208,2001
Poland,17.500,2001
Denmark,17.175,2001
Romania,15.791,2001
Serbia,15.415,2001
Hungary,15.082,2001
Slovakia,14.665,2001
Israel,14.124,2001
Slovenia,11.998,2001
Bulgaria,11.665,2001
Cyprus,10.832,2001
Georgia,9.666,2001
Finland,8.541,2001
Latvia,7.832,2001
Iceland,5.332,2001
Belarus,4.833,2001
Moldova,4.499,2001
Lithuania,4.498,2001
North Macedonia,3.497,2001
Ireland,2.998,2001
Estonia,2.498,2001
Armenia,2.165,2001
Wales,2.165,2001
Azerbaijan,1.665,2001
Malta,1.665,2001
Liechtenstein,1.500,2001
Northern Ireland,1.331,2001
Bosnia-Herzegovina,1.000,2001
Luxembourg,0.665,2001
Faroe Islands,0.665,2001
Albania,0.499,2001
Andorra,0.000,2001
San Marino,0.000,2001
Spain,68.467,2002
Italy,58.668,2002
England,55.459,2002
Germany,52.990,2002
France,42.352,2002
Greece,36.116,2002
Netherlands,34.165,2002
Turkey,28.725,2002
Portugal,28.249,2002
Russia,27.291,2002
Czech Republic,26.625,2002
Scotland,26.125,2002
Ukraine,25.958,2002
Belgium,25.525,2002
Austria,23.250,2002
Switzerland,22.625,2002
Norway,21.475,2002
Israel,21.332,2002
Croatia,21.041,2002
Poland,17.500,2002
Denmark,17.375,2002
Sweden,17.241,2002
Serbia,16.331,2002
Slovakia,15.665,2002
Bulgaria,15.165,2002
Romania,13.916,2002
Hungary,13.749,2002
Slovenia,11.832,2002
Cyprus,9.332,2002
Finland,8.041,2002
Latvia,7.165,2002
Georgia,6.999,2002
Moldova,5.165,2002
Iceland,4.832,2002
Belarus,4.083,2002
Lithuania,3.831,2002
Ireland,3.331,2002
North Macedonia,2.997,2002
Malta,2.498,2002
Wales,1.832,2002
Estonia,1.665,2002
Bosnia-Herzegovina,1.333,2002
Armenia,1.332,2002
Northern Ireland,1.331,2002
Albania,1.165,2002
Faroe Islands,1.165,2002
Azerbaijan,1.165,2002
Liechtenstein,1.000,2002
Luxembourg,0.832,2002
Andorra,0.000,2002
San Marino,0.000,2002
Spain,75.539,2003
Italy,62.311,2003
England,58.340,2003
Germany,51.132,2003
France,43.468,2003
Greece,36.782,2003
Portugal,35.583,2003
Netherlands,33.498,2003
Scotland,30.375,2003
Turkey,28.991,2003
Belgium,28.500,2003
Czech Republic,27.950,2003
Switzerland,26.250,2003
Ukraine,24.583,2003
Israel,23.999,2003
Austria,23.375,2003
Poland,21.625,2003
Russia,21.041,2003
Serbia,19.831,2003
Norway,19.575,2003
Bulgaria,18.665,2003
Croatia,18.625,2003
Sweden,17.591,2003
Denmark,17.375,2003
Slovakia,13.665,2003
Romania,12.957,2003
Hungary,12.790,2003
Cyprus,10.165,2003
Slovenia,9.332,2003
Finland,7.208,2003
Latvia,6.665,2003
Moldova,5.832,2003
Georgia,5.666,2003
Bosnia-Herzegovina,4.333,2003
Lithuania,3.998,2003
Iceland,3.498,2003
North Macedonia,3.497,2003
Belarus,3.416,2003
Ireland,3.331,2003
Malta,2.998,2003
Armenia,2.165,2003
Wales,2.165,2003
Liechtenstein,2.000,2003
Albania,1.831,2003
Estonia,1.665,2003
Northern Ireland,1.498,2003
Luxembourg,1.332,2003
Faroe Islands,1.165,2003
Azerbaijan,1.165,2003
Kazakhstan,0.500,2003
San Marino,0.000,2003
Andorra,0.000,2003
Spain,79.851,2004
England,62.153,2004
Italy,59.186,2004
Germany,49.489,2004
France,48.326,2004
Portugal,42.333,2004
Greece,34.748,2004
Netherlands,34.081,2004
Czech Republic,33.075,2004
Turkey,32.291,2004
Scotland,32.125,2004
Belgium,28.875,2004
Switzerland,22.375,2004
Ukraine,22.125,2004
Norway,21.900,2004
Poland,21.750,2004
Israel,21.249,2004
Austria,21.125,2004
Serbia,20.165,2004
Bulgaria,19.998,2004
Russia,19.916,2004
Denmark,17.450,2004
Croatia,17.375,2004
Sweden,16.716,2004
Hungary,15.290,2004
Romania,14.790,2004
Slovakia,12.832,2004
Slovenia,9.165,2004
Cyprus,8.998,2004
Moldova,6.832,2004
Latvia,5.998,2004
Finland,5.874,2004
Bosnia-Herzegovina,5.499,2004
Georgia,4.999,2004
North Macedonia,4.830,2004
Lithuania,4.165,2004
Belarus,3.582,2004
Iceland,3.332,2004
Malta,3.331,2004
Ireland,3.164,2004
Armenia,2.831,2004
Wales,2.332,2004
Liechtenstein,2.000,2004
Albania,1.831,2004
Northern Ireland,1.665,2004
Estonia,1.665,2004
Luxembourg,1.498,2004
Azerbaijan,1.165,2004
Faroe Islands,0.832,2004
Kazakhstan,0.666,2004
San Marino,0.000,2004
Andorra,0.000,2004
Spain,73.717,2005
England,63.224,2005
Italy,61.186,2005
France,49.469,2005
Germany,48.989,2005
Portugal,44.666,2005
Netherlands,39.831,2005
Greece,35.498,2005
Belgium,31.750,2005
Scotland,31.750,2005
Turkey,29.916,2005
Czech Republic,27.950,2005
Russia,25.666,2005
Austria,24.875,2005
Ukraine,24.850,2005
Israel,21.874,2005
Serbia,21.249,2005
Poland,21.000,2005
Switzerland,20.875,2005
Norway,20.200,2005
Bulgaria,18.540,2005
Croatia,18.125,2005
Denmark,17.200,2005
Hungary,16.331,2005
Romania,15.457,2005
Sweden,15.383,2005
Slovakia,11.665,2005
Slovenia,9.665,2005
Cyprus,8.165,2005
Bosnia-Herzegovina,7.165,2005
Latvia,6.664,2005
Finland,6.540,2005
Moldova,6.332,2005
Georgia,6.165,2005
Lithuania,5.332,2005
Iceland,4.832,2005
North Macedonia,4.497,2005
Ireland,4.164,2005
Belarus,4.082,2005
Liechtenstein,4.000,2005
Armenia,2.998,2005
Malta,2.998,2005
Albania,2.665,2005
Estonia,2.498,2005
Northern Ireland,2.165,2005
Wales,1.832,2005
Luxembourg,1.665,2005
Azerbaijan,1.332,2005
Faroe Islands,0.999,2005
Kazakhstan,0.666,2005
Andorra,0.000,2005
San Marino,0.000,2005
Spain,72.748,2006
Italy,66.731,2006
England,63.486,2006
France,50.781,2006
Germany,48.364,2006
Portugal,44.041,2006
Netherlands,41.331,2006
Greece,32.081,2006
Russia,31.833,2006
Romania,31.457,2006
Scotland,30.375,2006
Belgium,30.250,2006
Ukraine,26.600,2006
Czech Republic,26.575,2006
Turkey,26.166,2006
Switzerland,25.875,2006
Bulgaria,24.290,2006
Israel,21.541,2006
Norway,20.975,2006
Austria,20.375,2006
Serbia,19.999,2006
Poland,18.500,2006
Denmark,16.950,2006
Hungary,14.665,2006
Croatia,14.083,2006
Sweden,13.249,2006
Slovakia,12.332,2006
Cyprus,10.165,2006
Slovenia,10.165,2006
Bosnia-Herzegovina,8.165,2006
Finland,7.373,2006
Latvia,7.164,2006
Moldova,6.832,2006
Georgia,6.331,2006
Lithuania,5.832,2006
North Macedonia,5.331,2006
Iceland,4.832,2006
Liechtenstein,4.500,2006
Belarus,4.415,2006
Ireland,4.331,2006
Albania,3.665,2006
Armenia,2.998,2006
Estonia,2.665,2006
Malta,2.665,2006
Wales,2.332,2006
Northern Ireland,2.332,2006
Azerbaijan,1.999,2006
Luxembourg,1.832,2006
Kazakhstan,1.666,2006
Faroe Islands,1.665,2006
San Marino,0.000,2006
Andorra,0.000,2006
Spain,76.891,2007
England,68.540,2007
Italy,66.088,2007
France,53.656,2007
Germany,44.364,2007
Portugal,42.749,2007
Romania,40.165,2007
Netherlands,39.379,2007
Russia,36.125,2007
Scotland,30.500,2007
Ukraine,29.475,2007
Belgium,29.075,2007
Czech Republic,26.825,2007
Turkey,26.641,2007
Greece,25.497,2007
Bulgaria,24.582,2007
Switzerland,23.850,2007
Norway,19.725,2007
Israel,19.208,2007
Serbia,18.958,2007
Denmark,18.575,2007
Austria,18.500,2007
Poland,17.000,2007
Hungary,14.165,2007
Slovakia,10.832,2007
Croatia,10.708,2007
Cyprus,10.582,2007
Sweden,10.541,2007
Slovenia,9.915,2007
Bosnia-Herzegovina,9.665,2007
Latvia,8.664,2007
Lithuania,7.332,2007
Finland,7.331,2007
Moldova,7.166,2007
Ireland,6.498,2007
Georgia,6.164,2007
Liechtenstein,6.000,2007
North Macedonia,5.831,2007
Iceland,4.999,2007
Belarus,4.665,2007
Albania,3.832,2007
Estonia,3.665,2007
Armenia,3.498,2007
Azerbaijan,3.166,2007
Kazakhstan,2.332,2007
Northern Ireland,2.165,2007
Wales,1.998,2007
Faroe Islands,1.665,2007
Luxembourg,1.665,2007
Malta,1.665,2007
San Marino,0.000,2007
Andorra,0.000,2007
England,75.749,2008
Spain,75.266,2008
Italy,60.410,2008
France,52.668,2008
Germany,48.722,2008
Russia,43.750,2008
Romania,40.599,2008
Portugal,39.927,2008
Netherlands,38.213,2008
Scotland,33.375,2008
Turkey,31.725,2008
Ukraine,30.100,2008
Belgium,26.700,2008
Greece,25.831,2008
Czech Republic,25.750,2008
Switzerland,24.225,2008
Bulgaria,23.166,2008
Norway,22.425,2008
Denmark,20.450,2008
Austria,17.700,2008
Serbia,16.750,2008
Israel,15.750,2008
Sweden,13.691,2008
Slovakia,12.332,2008
Poland,12.041,2008
Hungary,11.999,2008
Croatia,11.624,2008
Cyprus,10.082,2008
Slovenia,9.915,2008
Finland,9.623,2008
Latvia,8.831,2008
Bosnia-Herzegovina,8.498,2008
Lithuania,7.999,2008
Moldova,7.499,2008
Ireland,7.332,2008
North Macedonia,6.331,2008
Iceland,5.999,2008
Georgia,5.831,2008
Liechtenstein,5.500,2008
Belarus,5.332,2008
Estonia,4.332,2008
Azerbaijan,3.832,2008
Albania,3.666,2008
Armenia,3.665,2008
Kazakhstan,2.582,2008
Northern Ireland,2.332,2008
Wales,2.331,2008
Faroe Islands,1.832,2008
Luxembourg,1.498,2008
Malta,0.832,2008
Montenegro,0.500,2008
Andorra,0.500,2008
San Marino,0.250,2008
England,79.499,2009
Spain,74.266,2009
Italy,62.910,2009
Germany,56.695,2009
France,50.168,2009
Russia,47.625,2009
Ukraine,41.850,2009
Netherlands,39.130,2009
Romania,38.908,2009
Portugal,36.462,2009
Turkey,32.225,2009
Greece,28.165,2009
Scotland,27.875,2009
Belgium,25.325,2009
Switzerland,25.250,2009
Denmark,24.450,2009
Bulgaria,21.250,2009
Czech Republic,20.750,2009
Norway,18.800,2009
Austria,17.825,2009
Serbia,15.250,2009
Israel,15.250,2009
Cyprus,15.082,2009
Sweden,14.691,2009
Slovakia,14.665,2009
Poland,12.916,2009
Croatia,12.332,2009
Finland,9.790,2009
Lithuania,9.666,2009
Ireland,9.499,2009
Latvia,9.164,2009
Slovenia,9.082,2009
Belarus,8.666,2009
Bosnia-Herzegovina,8.665,2009
Hungary,8.166,2009
Iceland,6.665,2009
Moldova,6.665,2009
Georgia,6.664,2009
Liechtenstein,5.500,2009
North Macedonia,5.165,2009
Azerbaijan,4.498,2009
Estonia,4.332,2009
Albania,3.999,2009
Kazakhstan,3.249,2009
Armenia,2.999,2009
Wales,2.331,2009
Northern Ireland,2.165,2009
Faroe Islands,2.165,2009
Luxembourg,1.332,2009
Montenegro,1.000,2009
Andorra,0.500,2009
Malta,0.499,2009
San Marino,0.250,2009
England,81.856,2010
Spain,79.757,2010
Italy,64.338,2010
Germany,64.207,2010
France,53.740,2010
Russia,43.791,2010
Ukraine,39.550,2010
Romania,39.491,2010
Portugal,38.296,2010
Netherlands,36.546,2010
Turkey,34.450,2010
Greece,29.899,2010
Switzerland,28.375,2010
Belgium,27.900,2010
Denmark,27.350,2010
Scotland,25.791,2010
Bulgaria,22.000,2010
Czech Republic,21.975,2010
Austria,19.575,2010
Israel,18.875,2010
Cyprus,17.999,2010
Norway,17.400,2010
Slovakia,15.832,2010
Sweden,14.191,2010
Serbia,14.000,2010
Poland,12.541,2010
Croatia,12.332,2010
Belarus,11.541,2010
Ireland,9.541,2010
Finland,9.499,2010
Bosnia-Herzegovina,8.749,2010
Lithuania,8.416,2010
Latvia,8.248,2010
Moldova,7.290,2010
Slovenia,6.957,2010
Hungary,6.750,2010
Georgia,5.748,2010
Azerbaijan,5.498,2010
Iceland,5.415,2010
North Macedonia,5.332,2010
Liechtenstein,4.500,2010
Kazakhstan,4.499,2010
Estonia,4.374,2010
Albania,3.999,2010
Armenia,2.999,2010
Wales,2.581,2010
Montenegro,2.125,2010
Faroe Islands,1.832,2010
Northern Ireland,1.624,2010
Luxembourg,1.249,2010
Andorra,1.000,2010
Malta,0.916,2010
San Marino,0.750,2010
England,85.785,2011
Spain,82.329,2011
Germany,69.436,2011
Italy,60.552,2011
France,53.678,2011
Portugal,51.596,2011
Russia,44.707,2011
Ukraine,43.883,2011
Netherlands,40.129,2011
Turkey,35.050,2011
Greece,34.166,2011
Denmark,30.550,2011
Belgium,27.000,2011
Romania,25.824,2011
Scotland,25.141,2011
Switzerland,24.900,2011
Israel,22.000,2011
Czech Republic,20.850,2011
Austria,20.700,2011
Cyprus,18.124,2011
Bulgaria,17.875,2011
Croatia,16.124,2011
Belarus,16.083,2011
Poland,15.916,2011
Slovakia,14.499,2011
Norway,14.375,2011
Serbia,14.250,2011
Sweden,14.125,2011
Bosnia-Herzegovina,9.124,2011
Finland,8.966,2011
Ireland,8.708,2011
Hungary,8.500,2011
Moldova,7.749,2011
Lithuania,7.708,2011
Latvia,7.415,2011
Georgia,6.957,2011
Azerbaijan,6.165,2011
Slovenia,6.124,2011
North Macedonia,5.207,2011
Iceland,4.957,2011
Kazakhstan,4.374,2011
Liechtenstein,4.000,2011
Montenegro,3.875,2011
Albania,3.874,2011
Estonia,3.791,2011
Wales,2.790,2011
Armenia,2.583,2011
Malta,2.416,2011
Northern Ireland,2.249,2011
Faroe Islands,1.416,2011
Luxembourg,1.374,2011
Andorra,1.000,2011
San Marino,0.916,2011
England,84.410,2012
Spain,84.186,2012
Germany,75.186,2012
Italy,59.981,2012
Portugal,55.346,2012
France,54.178,2012
Russia,47.832,2012
Netherlands,45.515,2012
Ukraine,45.133,2012
Greece,37.100,2012
Turkey,34.050,2012
Belgium,32.400,2012
Denmark,27.525,2012
Switzerland,26.800,2012
Austria,26.325,2012
Cyprus,25.499,2012
Israel,22.000,2012
Scotland,21.141,2012
Czech Republic,20.350,2012
Poland,19.916,2012
Croatia,18.874,2012
Romania,18.824,2012
Belarus,18.208,2012
Sweden,15.900,2012
Slovakia,14.874,2012
Norway,14.675,2012
Serbia,14.250,2012
Bulgaria,14.250,2012
Hungary,9.750,2012
Finland,9.133,2012
Georgia,8.666,2012
Bosnia-Herzegovina,8.416,2012
Ireland,7.375,2012
Slovenia,7.124,2012
Lithuania,6.875,2012
Moldova,6.749,2012
Azerbaijan,6.207,2012
Latvia,5.874,2012
North Macedonia,5.666,2012
Kazakhstan,5.333,2012
Iceland,5.332,2012
Montenegro,4.375,2012
Liechtenstein,4.000,2012
Albania,3.916,2012
Malta,3.083,2012
Wales,2.749,2012
Estonia,2.666,2012
Northern Ireland,2.583,2012
Luxembourg,2.333,2012
Armenia,2.208,2012
Faroe Islands,1.416,2012
Andorra,1.000,2012
San Marino,0.916,2012
Spain,88.025,2013
England,82.963,2013
Germany,79.614,2013
Italy,64.147,2013
Portugal,59.168,2013
France,59.000,2013
Ukraine,49.758,2013
Russia,46.332,2013
Netherlands,44.729,2013
Turkey,34.500,2013
Belgium,34.400,2013
Greece,34.000,2013
Switzerland,28.925,2013
Cyprus,26.833,2013
Denmark,25.700,2013
Austria,25.375,2013
Czech Republic,23.725,2013
Romania,23.024,2013
Israel,22.875,2013
Belarus,20.875,2013
Poland,20.750,2013
Croatia,19.583,2013
Sweden,15.625,2013
Scotland,15.191,2013
Serbia,14.625,2013
Slovakia,14.208,2013
Norway,14.175,2013
Bulgaria,12.250,2013
Hungary,11.750,2013
Slovenia,9.708,2013
Georgia,9.166,2013
Azerbaijan,8.541,2013
Finland,8.508,2013
Bosnia-Herzegovina,7.833,2013
Moldova,7.666,2013
Ireland,7.375,2013
Lithuania,6.500,2013
Kazakhstan,5.958,2013
Latvia,5.791,2013
Iceland,5.416,2013
Montenegro,5.250,2013
North Macedonia,5.250,2013
Albania,4.166,2013
Malta,3.958,2013
Liechtenstein,3.500,2013
Luxembourg,3.375,2013
Northern Ireland,3.083,2013
Wales,2.583,2013
Estonia,2.208,2013
Armenia,1.750,2013
Faroe Islands,1.583,2013
San Marino,0.666,2013
Andorra,0.500,2013
Spain,97.713,2014
England,84.748,2014
Germany,81.641,2014
Italy,66.938,2014
Portugal,62.299,2014
France,56.500,2014
Russia,46.998,2014
Netherlands,44.312,2014
Ukraine,40.966,2014
Belgium,36.300,2014
Turkey,34.200,2014
Greece,33.600,2014
Switzerland,33.225,2014
Austria,30.925,2014
Czech Republic,29.350,2014
Romania,27.257,2014
Israel,26.875,2014
Cyprus,23.250,2014
Denmark,21.300,2014
Croatia,19.625,2014
Poland,18.875,2014
Belarus,18.625,2014
Scotland,16.566,2014
Sweden,16.325,2014
Bulgaria,15.625,2014
Norway,14.275,2014
Serbia,14.125,2014
Hungary,11.625,2014
Slovenia,11.000,2014
Slovakia,11.000,2014
Moldova,10.375,2014
Azerbaijan,10.375,2014
Georgia,9.875,2014
Kazakhstan,8.250,2014
Bosnia-Herzegovina,7.500,2014
Finland,7.175,2014
Iceland,6.750,2014
Latvia,6.250,2014
Montenegro,6.000,2014
Albania,5.500,2014
Lithuania,5.250,2014
North Macedonia,5.250,2014
Ireland,5.125,2014
Luxembourg,4.875,2014
Malta,4.833,2014
Liechtenstein,4.500,2014
Northern Ireland,3.625,2014
Wales,3.000,2014
Armenia,2.875,2014
Estonia,2.875,2014
Faroe Islands,2.125,2014
San Marino,0.999,2014
Andorra,0.833,2014
Spain,99.999,2015
England,80.391,2015
Germany,79.415,2015
Italy,70.510,2015
Portugal,61.382,2015
France,52.416,2015
Russia,50.498,2015
Ukraine,45.166,2015
Netherlands,40.979,2015
Belgium,37.200,2015
Switzerland,34.375,2015
Turkey,32.600,2015
Greece,31.900,2015
Czech Republic,29.125,2015
Romania,26.299,2015
Austria,25.675,2015
Croatia,23.500,2015
Cyprus,22.300,2015
Poland,21.500,2015
Israel,21.000,2015
Belarus,20.750,2015
Denmark,19.800,2015
Scotland,17.900,2015
Sweden,17.725,2015
Bulgaria,16.750,2015
Norway,14.375,2015
Serbia,13.875,2015
Slovenia,13.625,2015
Azerbaijan,12.500,2015
Slovakia,11.250,2015
Hungary,11.000,2015
Kazakhstan,10.375,2015
Moldova,10.000,2015
Georgia,9.375,2015
Finland,8.200,2015
Iceland,8.000,2015
Bosnia-Herzegovina,7.500,2015
Liechtenstein,6.000,2015
North Macedonia,5.875,2015
Ireland,5.750,2015
Montenegro,5.625,2015
Albania,5.375,2015
Luxembourg,5.125,2015
Northern Ireland,4.875,2015
Lithuania,4.500,2015
Latvia,4.250,2015
Malta,4.208,2015
Estonia,3.500,2015
Faroe Islands,3.500,2015
Wales,2.875,2015
Armenia,2.750,2015
Andorra,0.833,2015
San Marino,0.499,2015
Gibraltar,0.250,2015
Spain,105.713,2016
Germany,80.177,2016
England,76.284,2016
Italy,70.439,2016
Portugal,53.082,2016
France,52.749,2016
Russia,51.082,2016
Ukraine,44.883,2016
Belgium,40.000,2016
Netherlands,35.563,2016
Turkey,34.600,2016
Switzerland,33.775,2016
Czech Republic,32.925,2016
Greece,29.700,2016
Romania,25.383,2016
Austria,25.100,2016
Croatia,23.875,2016
Poland,22.500,2016
Cyprus,22.175,2016
Belarus,20.000,2016
Sweden,19.875,2016
Norway,19.250,2016
Israel,18.625,2016
Denmark,18.600,2016
Scotland,17.300,2016
Azerbaijan,14.875,2016
Serbia,14.625,2016
Kazakhstan,14.125,2016
Bulgaria,13.125,2016
Slovenia,13.125,2016
Slovakia,12.000,2016
Liechtenstein,10.500,2016
Hungary,9.875,2016
Moldova,9.125,2016
Iceland,8.750,2016
Georgia,8.125,2016
Finland,7.400,2016
Bosnia-Herzegovina,7.125,2016
Albania,6.625,2016
North Macedonia,6.000,2016
Ireland,5.450,2016
Latvia,5.375,2016
Luxembourg,5.250,2016
Montenegro,4.875,2016
Lithuania,4.625,2016
Northern Ireland,4.500,2016
Estonia,4.250,2016
Armenia,4.125,2016
Faroe Islands,3.625,2016
Malta,3.583,2016
Wales,3.500,2016
Gibraltar,1.000,2016
Andorra,0.999,2016
San Marino,0.333,2016
Spain,104.998,2017
Germany,79.498,2017
England,75.962,2017
Italy,73.332,2017
France,56.665,2017
Russia,50.532,2017
Portugal,49.332,2017
Ukraine,42.633,2017
Belgium,42.400,2017
Turkey,39.200,2017
Czech Republic,33.175,2017
Switzerland,32.075,2017
Netherlands,31.063,2017
Greece,27.900,2017
Austria,25.350,2017
Croatia,25.250,2017
Romania,24.350,2017
